carID,Make,Model,Type,Drive,Retail Price,DealerCost,EngineSize,Cyl,HP,MPG,City MPG,Hwy MPG,Weight,WheelBase,Len,Width
Car_1,Acura ,3.5 RL 4dr,Sedan,RWD,43755,39014,3.5,6,225,21,18,24,3880,115,197,72
Car_2,Acura ,3.5 RL w/Navigation 4dr,Sedan,RWD,46100,41100,3.5,6,225,21,18,24,3893,115,197,72
Car_3,Acura ,MDX,SUV,AWD,36945,33337,3.5,6,265,20,17,23,4451,106,189,77
Car_4,Acura ,NSX coupe 2dr manual S,Sports,RWD,89765,79978,3.2,6,290,20.5,17,24,3153,100,174,71
Car_5,Acura ,RSX Type S 2dr,Sedan,RWD,23820,21761,2,4,200,27.5,24,31,2778,101,172,68
Car_6,Acura ,TL 4dr,Sedan,RWD,33195,30299,3.2,6,270,24,20,28,3575,108,186,72
Car_7,Acura ,TSX 4dr,Sedan,RWD,26990,24647,2.4,4,200,25.5,22,29,3230,105,183,69
Car_8,Audi ,A4 1.8T 4dr,Sedan,RWD,25940,23508,1.8,4,170,26.5,22,31,3252,104,179,70
Car_9,Audi ,A4 3.0 4dr,Sedan,RWD,31840,28846,3,6,220,24,20,28,3462,104,179,70
Car_10,Audi ,A4 3.0 convertible 2dr,Sedan,RWD,42490,38325,3,6,220,23.5,20,27,3814,105,180,70
Car_11,Audi ,A4 3.0 Quattro 4dr auto,Sedan,AWD,34480,31388,3,6,220,21.5,18,25,3627,104,179,70
Car_12,Audi ,A4 3.0 Quattro 4dr manual,Sedan,AWD,33430,30366,3,6,220,21.5,17,26,3583,104,179,70
Car_13,Audi ,A4 3.0 Quattro convertible 2dr,Sedan,AWD,44240,40075,3,6,220,21.5,18,25,4013,105,180,70
Car_14,Audi ,A41.8T convertible 2dr,Sedan,RWD,35940,32506,1.8,4,170,26.5,23,30,3638,105,180,70
Car_15,Audi ,A6 2.7 Turbo Quattro 4dr,Sedan,AWD,42840,38840,2.7,6,250,21.5,18,25,3836,109,192,71
Car_16,Audi ,A6 3.0 4dr,Sedan,RWD,36640,33129,3,6,220,23.5,20,27,3561,109,192,71
Car_17,Audi ,A6 3.0 Avant Quattro,Wagon,AWD,40840,37060,3,6,220,21.5,18,25,4035,109,192,71
Car_18,Audi ,A6 3.0 Quattro 4dr,Sedan,AWD,39640,35992,3,6,220,21.5,18,25,3880,109,192,71
Car_19,Audi ,A6 4.2 Quattro 4dr,Sedan,AWD,49690,44936,4.2,8,300,20.5,17,24,4024,109,193,71
Car_20,Audi ,A8 L Quattro 4dr,Sedan,AWD,69190,64740,4.2,8,330,20.5,17,24,4399,121,204,75
Car_21,Audi ,RS 6 4dr,Sports,RWD,84600,76417,4.2,8,450,18.5,15,22,4024,109,191,78
Car_22,Audi ,S4 Avant Quattro,Wagon,AWD,49090,44446,4.2,8,340,18,15,21,3936,104,179,70
Car_23,Audi ,S4 Quattro 4dr,Sedan,AWD,48040,43556,4.2,8,340,17,14,20,3825,104,179,70
